id,created_at,updated_at,message_uuid,payment_type,item_amount,item_uuid,org_id,item_quantity,item_description
780a88a6-4981-4262-8d78-7785590064e6,2022-04-18 17:36:20.327973+00,2022-04-18 17:36:20.327973+00,377b2ccd-c821-53eb-b769-b12a128a92d3,Income,30000,8ec47ca8-4b3b-47ce-b1d7-da17c37d8ea6,cf259b80-6233-4904-a1ef-888ee8b975dc,1,
dadc5134-41e1-479d-8939-92d987d12620,2022-04-19 04:44:25.800649+00,2022-04-19 04:44:25.800649+00,9d272332-43d8-4305-8012-0c11ad29272b,Expense,260,51b2b223-b716-46d5-bd49-20cafc9b3edb,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
54dfe21a-e8fa-441b-a092-4206a454aed8,2022-04-19 07:37:50.023444+00,2022-04-19 07:37:50.023444+00,573e9d4b-3f25-5b9a-a34d-6c224af1b8d1,Income,5,a6fcf261-dddc-42b4-bbb4-789e9a027c34,c607eee6-3582-4b7c-9cbd-0bf3789fdea4,4,
66d818aa-5c43-43c3-8cff-c557e7ddcbeb,2022-04-19 07:37:50.034067+00,2022-04-19 07:37:50.034067+00,573e9d4b-3f25-5b9a-a34d-6c224af1b8d1,Income,5,8cb3ce6c-52d9-4800-89c4-fc7c4518102d,c607eee6-3582-4b7c-9cbd-0bf3789fdea4,4,
4e500649-81ad-4fbd-8617-faba38c27896,2022-04-19 07:59:16.387292+00,2022-04-19 07:59:16.387292+00,7f0fb5b2-66a4-53b0-9b77-34014e3d3a00,Income,450000,93732d2a-155c-45dd-8928-984fb659e04b,cf259b80-6233-4904-a1ef-888ee8b975dc,1,
f40ab71e-9de9-4d09-858d-63574bab9062,2022-04-19 07:59:16.393473+00,2022-04-19 07:59:16.393473+00,7f0fb5b2-66a4-53b0-9b77-34014e3d3a00,Income,30000,8ec47ca8-4b3b-47ce-b1d7-da17c37d8ea6,cf259b80-6233-4904-a1ef-888ee8b975dc,1,
316f23ca-2d77-4821-9ab7-db92d879750e,2022-04-19 09:31:38.225035+00,2022-04-19 09:31:38.225035+00,179b5d52-3cd5-578d-871a-ce02c9396c04,Expense,7000,c45abce9-0d5a-42a4-b4ec-e79206dfcc62,c607eee6-3582-4b7c-9cbd-0bf3789fdea4,1,
b5d6f16e-97b0-4c5f-abf4-7eb6a000b474,2022-04-19 09:34:39.74845+00,2022-04-19 09:34:39.74845+00,578ab056-a4ad-5102-a50a-674bc5ca1a8b,Income,1,fc49fedc-3c9a-4d93-9a31-fa8b2ffa8052,c607eee6-3582-4b7c-9cbd-0bf3789fdea4,3,
7c4742e8-6cca-4b3a-b409-5fb384a8b2f4,2022-04-19 09:34:39.755725+00,2022-04-19 09:34:39.755725+00,578ab056-a4ad-5102-a50a-674bc5ca1a8b,Income,5,8cb3ce6c-52d9-4800-89c4-fc7c4518102d,c607eee6-3582-4b7c-9cbd-0bf3789fdea4,3,
1ef60563-01c5-40ee-9f3a-bcd4f220c176,2022-04-19 13:45:13.454702+00,2022-04-19 13:45:13.454702+00,8ff474b0-6498-53ba-97e5-0018edd1fbc0,Income,450000,93732d2a-155c-45dd-8928-984fb659e04b,cf259b80-6233-4904-a1ef-888ee8b975dc,1,
e6463a23-ea11-4d0f-a526-38eb89289170,2022-04-21 12:24:37.117372+00,2022-04-21 12:24:37.117372+00,9982ada2-e247-5d41-911c-2b43d73b43c4,Income,2700,94f40573-6aa8-4658-9225-06a8f64ddd7c,80bc5388-5d3a-4452-81a8-5e95c9b2db3e,1,
ca510ff7-bb76-44ee-9625-1a4687f8b6fe,2022-04-22 08:50:10.27455+00,2022-04-22 08:50:10.27455+00,172cae3b-d5e8-58ba-95c8-48418c72ee3a,Income,1000,e20cf0c2-385f-4977-b853-f91eeffbeb51,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
3930174e-7c9b-4e9f-a971-cffd5a9fe603,2022-04-22 11:19:48.428703+00,2022-04-22 11:19:48.428703+00,523809e0-f92f-5acf-8079-213474952211,Expense,65,d2da718d-1841-4ed0-8b75-05441842395d,8ae66de7-56f8-4a03-b00f-ce98b83a1d01,1,
19204047-fcb2-4c89-a9b0-57dfb29ff663,2022-04-22 11:21:15.917332+00,2022-04-22 11:21:15.917332+00,a4b78276-418f-507f-ac30-3ea71c812152,Income,1400,a9c724b8-dc2d-4375-87c8-fe9c614f365d,8ae66de7-56f8-4a03-b00f-ce98b83a1d01,1,
